('NR', '29/12/18', '12:13:09')
('NR', '29/12/18', '12:13:09')
('NR', '29/12/18', '12:13:09')
('NR', '29/12/18', '12:13:09')
('NR', '29/12/18', '12:13:09')
('NR', '29/12/18', '12:13:10')
('NR', '29/12/18', '12:13:10')
('NR', '29/12/18', '12:13:10')
('NR', '29/12/18', '12:13:10')
('NR', '29/12/18', '12:13:10')
('NR', '29/12/18', '12:13:10')
('NR', '29/12/18', '12:13:10')
('NR', '29/12/18', '12:13:10')
('NR', '29/12/18', '12:13:10')
('NR', '29/12/18', '12:13:11')
('NR', '29/12/18', '12:13:11')
('NR', '29/12/18', '12:13:11')
('NR', '29/12/18', '12:13:11')
('NR', '29/12/18', '12:13:11')
('NR', '29/12/18', '12:13:11')
('NR', '29/12/18', '12:13:11')
('NR', '29/12/18', '12:13:11')
('NR', '29/12/18', '12:13:12')
('NR', '29/12/18', '12:13:12')
('NR', '29/12/18', '12:13:12')
('NR', '29/12/18', '12:13:12')
('NR', '29/12/18', '12:13:12')
('NR', '29/12/18', '12:13:12')
('NR', '29/12/18', '12:13:12')
('NR', '29/12/18', '12:13:12')
('NR', '29/12/18', '12:13:12')
('NR', '29/12/18', '12:13:13')
('NR', '29/12/18', '12:13:13')
('NR', '29/12/18', '12:13:13')
('NR', '29/12/18', '12:13:13')
('NR', '29/12/18', '12:13:13')
('NR', '29/12/18', '12:13:13')
('NR', '29/12/18', '12:13:13')
('NR', '29/12/18', '12:13:13')
('OA', '29/12/18', '12:13:14')
('OA', '29/12/18', '12:13:14')
('OA', '29/12/18', '12:13:14')
('OA', '29/12/18', '12:13:14')
('OA', '29/12/18', '12:13:14')
('OA', '29/12/18', '12:13:14')
('OA', '29/12/18', '12:13:14')
('OA', '29/12/18', '12:13:14')
('OA', '29/12/18', '12:13:14')
('OA', '29/12/18', '12:13:14')
('OA', '29/12/18', '12:13:15')
('OA', '29/12/18', '12:13:15')
('OA', '29/12/18', '12:13:16')
('OA', '29/12/18', '12:13:16')
('OA', '29/12/18', '12:13:17')
('OA', '29/12/18', '12:13:17')
('OA', '29/12/18', '12:13:18')
('OA', '29/12/18', '12:13:18')
('OA', '29/12/18', '12:13:18')
('OA', '29/12/18', '12:13:18')
('OA', '29/12/18', '12:13:20')
('OA', '29/12/18', '12:13:20')
('OA', '29/12/18', '12:13:20')
('OA', '29/12/18', '12:13:20')
('OA', '29/12/18', '12:13:20')
('OA', '29/12/18', '12:13:20')
('OA', '29/12/18', '12:13:21')
('OA', '29/12/18', '12:13:21')
('OA', '29/12/18', '12:13:21')
('OA', '29/12/18', '12:13:21')
('OA', '29/12/18', '12:13:21')
('OA', '29/12/18', '12:13:21')
